54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"350395 Aspásia";0,48;1,08;0,41;1,67;0,51;1,26;0,54;1,17;0,41;0,76;0,20;0,35;1,24;0,77
"350400 Assis";0,23;0,32;0,32;0,36;0,39;0,33;0,35;0,33;0,33;0,34;0,21;0,18;0,24;0,30
"350410 Atibaia";0,31;0,55;0,59;0,61;0,63;0,40;0,50;0,63;0,62;0,53;0,47;0,47;0,59;0,53
"350420 Auriflama";0,33;0,44;0,61;1,76;0,26;1,41;0,15;1,37;0,12;1,05;0,07;0,22;0,84;0,65
"350430 Avaí";0,15;0,26;0,16;0,18;0,20;0,26;0,20;0,28;0,22;0,17;0,24;0,26;0,27;0,22
"350440 Avanhandava";0,11;1,34;0,17;1,27;0,14;1,25;0,15;0,11;1,11;0,03;0,88;0,22;0,13;0,52
"350450 Avaré";0,38;0,40;0,36;0,36;0,31;0,47;0,34;0,28;0,21;0,22;0,11;0,10;0,22;0,28
"350460 Bady Bassitt";0,56;0,51;0,75;0,56;0,61;0,44;0,49;0,47;0,49;0,47;0,27;0,32;0,31;0,45
"350470 Balbinos";0,10;0,26;0,26;0,24;0,79;0,29;0,53;0,36;0,31;0,34;0,28;0,49;0,22;0,34
"350480 Bálsamo";0,43;0,48;0,57;0,65;0,57;0,65;0,67;0,60;0,50;0,69;0,53;0,54;0,62;0,58
"350490 Bananal";0,02;0,13;0,22;0,18;0,22;0,93;0,11;0,05;0,75;0,06;0,05;0,04;0,05;0,21
"350500 Barão de Antonina";0,37;0,57;0,36;0,30;0,48;0,40;0,46;0,47;0,11;0,20;0,16;0,26;0,40;0,34
"350510 Barbosa";0,27;1,51;0,24;0,94;0,33;1,31;0,13;0,18;1,18;0,04;1,23;0,07;0,22;0,58
"350520 Bariri";0,24;0,32;0,31;0,14;0,43;0,24;0,28;0,21;0,29;0,22;0,10;0,16;0,22;0,24
"350530 Barra Bonita";0,21;0,29;0,26;0,31;0,33;0,42;0,25;0,35;0,54;0,05;0,09;0,23;0,35;0,28
"350535 Barra do Chapéu";0,07;0,16;0,13;0,12;0,07;0,54;0,07;0,11;0,22;0,13;0,00;0,04;0,13;0,14
"350540 Barra do Turvo";0,24;0,31;0,27;0,29;0,34;0,31;0,32;0,25;0,20;0,21;0,13;0,17;0,21;0,25
"350550 Barretos";0,46;0,46;0,54;0,64;0,64;0,58;0,57;0,41;0,45;0,40;0,12;0,27;0,45;0,45
"350560 Barrinha";0,27;0,01;0,02;0,01;0,16;0,08;0,19;0,30;0,25;0,18;0,22;0,07;0,14;0,15
"350570 Barueri";1,44;1,09;1,09;1,21;1,00;0,95;1,07;0,62;2,32;2,25;2,23;0,71;0,64;1,09
