54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"351660 Gália";0,29;1,39;0,64;0,88;0,59;0,39;0,47;0,47;0,53;0,43;0,29;0,43;0,43;0,55
"351670 Garça";0,27;0,40;0,52;0,55;0,25;0,27;0,32;0,24;0,25;0,28;0,17;0,19;0,21;0,29
"351680 Gastão Vidigal";0,09;0,19;0,68;0,08;0,76;0,81;0,15;0,33;0,82;0,21;0,60;0,19;0,82;0,45
"351685 Gavião Peixoto";0,17;0,37;0,52;0,42;0,42;0,51;0,51;0,44;0,58;0,91;0,36;0,59;0,49;0,50
"351690 General Salgado";0,24;0,34;1,11;0,30;1,17;1,26;0,25;1,35;0,21;0,26;1,19;0,16;1,21;0,70
"351700 Getulina";0,35;0,28;0,44;0,48;0,40;0,46;0,35;0,52;0,52;0,21;0,15;0,21;0,58;0,38
"351710 Glicério";0,32;1,75;0,09;1,57;0,11;1,57;0,12;0,02;1,62;0,04;1,39;0,04;1,64;0,79
"351720 Guaiçara";0,05;0,10;0,53;0,41;0,41;0,27;0,31;0,21;0,28;0,37;0,10;0,19;0,40;0,28
"351730 Guaimbê";0,25;0,81;0,56;0,58;0,68;0,39;0,63;0,38;0,44;0,32;0,13;0,21;0,53;0,44
"351740 Guaíra";0,59;0,56;0,69;0,65;0,75;0,72;0,79;0,62;0,64;0,68;0,07;0,12;0,96;0,59
"351750 Guapiaçu";0,37;0,39;0,56;0,38;0,68;0,58;0,63;0,60;0,56;0,57;0,37;0,37;0,35;0,49
"351760 Guapiara";0,16;0,24;0,20;0,28;0,26;0,27;0,26;0,38;0,29;0,21;0,08;0,11;0,27;0,23
"351770 Guará";0,05;0,25;0,19;0,42;0,28;0,28;0,36;0,56;0,13;0,28;0,26;0,17;0,30;0,27
"351780 Guaraçaí";0,22;0,60;1,54;0,59;1,28;0,70;1,24;0,34;1,01;0,11;0,06;0,71;0,11;0,65
"351790 Guaraci";0,73;0,53;0,45;0,74;0,64;0,67;0,52;0,52;0,61;0,46;0,04;0,08;0,88;0,52
"351800 Guarani d'Oeste";0,57;1,57;0,35;1,61;0,24;1,53;0,18;1,70;0,16;0,82;0,14;0,20;1,26;0,78
"351810 Guarantã";0,14;0,49;0,36;0,42;0,57;0,46;0,47;0,35;0,43;0,31;0,19;0,19;0,35;0,36
"351820 Guararapes";0,40;0,57;0,11;0,26;0,61;0,66;0,63;1,26;0,22;0,90;0,21;0,43;0,75;0,54
"351830 Guararema";0,40;0,66;0,50;0,48;0,68;0,53;0,52;0,57;0,46;0,66;0,34;0,46;0,55;0,52
"351840 Guaratinguetá";0,21;0,30;0,35;0,27;0,40;0,31;0,28;0,17;0,39;0,17;0,15;0,30;0,27;0,27
"351850 Guareí";0,00;0,09;0,25;0,50;0,48;0,47;0,20;1,05;0,26;0,37;0,43;0,21;0,22;0,35
"351860 Guariba";0,51;0,61;0,56;0,62;0,54;0,83;0,46;0,49;0,32;0,53;0,26;0,07;0,22;0,43
"351870 Guarujá";0,26;0,36;0,48;0,61;0,55;0,62;0,57;0,68;0,58;0,65;0,42;0,54;0,52;0,53
"351880 Guarulhos";0,57;0,52;0,57;0,58;0,47;0,41;0,41;0,45;0,48;0,48;0,20;0,24;0,35;0,43
"351885 Guatapará";0,37;0,15;0,32;0,09;0,36;0,40;0,42;0,39;0,41;0,40;0,22;0,17;0,06;0,29
"351890 Guzolândia";0,59;0,44;5,42;2,18;0,25;1,87;0,24;1,71;0,23;1,63;0,13;0,17;1,41;0,92
"351900 Herculândia";0,41;0,58;0,52;0,57;0,59;0,60;0,55;0,51;0,55;0,46;0,40;0,33;0,46;0,50
"351905 Holambra";0,66;0,50;0,52;0,87;0,53;0,52;0,40;0,21;0,03;0,02;0,02;0,01;0,18;0,30
"351907 Hortolândia";0,44;0,51;0,48;0,34;0,66;0,35;0,57;0,33;0,41;0,40;0,21;0,27;0,39;0,40
"351910 Iacanga";0,27;0,55;0,48;0,48;0,49;0,37;0,57;0,57;0,22;0,69;0,16;0,34;0,48;0,44
"351920 Iacri";0,39;0,57;0,39;0,90;0,45;0,35;0,76;0,65;0,73;1,03;0,82;0,58;0,70;0,65
"351925 Iaras";0,60;0,66;0,61;0,34;0,30;0,25;0,44;0,40;0,12;0,10;0,05;0,00;0,00;0,27
"351930 Ibaté";0,12;0,26;0,28;0,29;0,36;0,28;0,28;0,34;0,32;0,37;0,21;0,16;0,32;0,28
"351940 Ibirá";0,35;0,18;0,48;0,44;0,53;0,75;0,57;0,46;0,57;0,51;0,38;0,34;0,39;0,46
"351950 Ibirarema";0,18;0,38;0,37;0,36;0,44;0,35;0,31;0,38;0,30;0,27;0,41;0,26;0,20;0,32
"351960 Ibitinga";0,22;0,26;0,34;0,32;0,42;0,39;0,63;0,44;0,35;0,31;0,23;0,34;0,39;0,36
"351970 Ibiúna";0,03;0,22;0,14;0,11;0,19;0,16;0,26;0,10;0,20;0,08;0,06;0,07;0,11;0,13
"351980 Icém";0,46;0,52;0,67;0,47;0,76;0,57;0,41;0,54;0,62;0,53;0,46;0,49;0,45;0,53
"351990 Iepê";0,55;0,69;0,79;0,58;1,16;0,93;0,67;0,99;0,98;0,74;0,42;0,67;0,67;0,75
"352000 Igaraçu do Tietê";0,25;0,25;0,25;0,23;0,20;0,27;0,22;0,30;0,27;0,21;0,13;0,22;0,22;0,23
"352010 Igarapava";0,17;0,38;0,31;0,43;0,42;0,47;0,38;0,29;0,23;0,32;0,21;0,05;0,18;0,29
"352020 Igaratá";0,43;0,72;0,71;0,58;0,60;0,40;0,46;0,81;0,60;0,40;0,17;0,42;0,64;0,53
"352030 Iguape";0,23;0,40;0,34;0,26;0,31;0,27;0,24;0,21;0,24;0,16;0,17;0,21;0,34;0,26
"352042 Ilha Comprida";0,21;0,73;0,36;0,27;0,27;0,36;0,76;0,31;0,41;0,34;0,51;0,19;0,30;0,38
"352044 Ilha Solteira";0,24;0,55;1,73;0,42;1,26;0,73;1,27;0,51;0,39;1,42;0,23;1,46;0,14;0,78
"352040 Ilhabela";0,19;0,36;0,14;0,31;0,43;0,48;0,64;0,31;0,30;0,03;0,04;0,03;0,41;0,27
"352050 Indaiatuba";0,49;0,47;0,56;0,49;0,54;0,49;0,57;0,59;0,44;0,41;0,28;0,27;0,39;0,45
"352060 Indiana";0,73;0,84;0,95;0,49;0,75;0,61;0,89;0,67;0,77;0,67;0,36;0,65;0,59;0,68
"352070 Indiaporã";0,83;1,16;0,76;1,27;0,63;1,09;0,44;1,54;0,42;1,07;0,28;0,22;1,24;0,83
"352080 Inúbia Paulista";0,55;0,54;0,53;0,75;0,68;0,59;0,65;0,65;0,68;0,48;0,54;0,38;0,62;0,58
"352090 Ipaussu";0,38;0,50;0,45;0,58;0,41;0,65;0,43;0,52;0,50;0,59;0,24;0,28;0,29;0,44
"352100 Iperó";0,24;0,41;0,36;0,40;0,44;0,31;0,27;0,14;0,30;0,11;0,08;0,08;0,05;0,22
"352110 Ipeúna";0,23;0,46;0,71;0,63;0,77;0,58;0,58;0,62;0,49;0,54;0,31;0,36;0,57;0,52
"352115 Ipiguá";0,48;0,45;0,47;0,41;0,47;0,53;0,36;0,35;0,43;0,54;0,25;0,39;0,37;0,42
"352120 Iporanga";0,36;0,55;0,50;0,47;0,26;0,35;0,44;0,32;0,27;0,20;0,17;0,27;0,20;0,33
"352130 Ipuã";0,15;0,29;0,41;0,72;0,87;0,45;0,91;0,56;0,93;0,55;0,53;0,48;0,62;0,58
"352140 Iracemápolis";0,17;0,39;0,62;0,69;0,79;0,74;0,73;0,59;0,64;0,61;0,28;0,40;0,16;0,50
"352150 Irapuã";0,31;0,35;0,47;0,47;0,64;0,60;0,50;0,71;0,64;0,53;0,40;0,26;0,65;0,50
"352160 Irapuru";0,53;0,42;0,38;0,38;0,49;0,32;0,43;0,40;0,19;0,37;0,30;0,31;0,31;0,37
"352170 Itaberá";0,29;0,18;0,34;0,24;0,46;0,28;0,21;0,42;0,50;0,21;0,10;0,18;0,22;0,28
"352180 Itaí";0,27;0,25;0,33;0,26;0,32;0,12;0,12;0,25;0,32;0,27;0,17;0,18;0,10;0,22
"352190 Itajobi";0,46;0,46;0,58;0,58;0,67;0,48;0,46;0,73;0,43;0,52;0,30;0,20;0,58;0,49
"352200 Itaju";0,11;0,32;0,24;0,11;0,43;0,83;0,25;0,38;0,49;0,32;0,14;0,32;0,28;0,33
"352210 Itanhaém";0,18;0,27;0,18;0,17;0,31;0,37;0,27;0,22;0,26;0,31;0,24;0,22;0,25;0,25
"352215 Itaóca";0,12;0,09;0,67;0,27;0,20;0,94;0,07;0,16;0,37;0,23;0,61;0,10;0,27;0,32
"352220 Itapecerica da Serra";0,26;0,41;0,43;0,44;0,53;0,59;0,48;0,38;0,38;0,36;0,19;0,26;0,31;0,38
"352230 Itapetininga";0,35;0,41;0,45;0,42;0,40;0,30;0,39;0,45;0,29;0,42;0,28;0,35;0,40;0,38
"352240 Itapeva";0,28;0,40;0,29;0,27;0,46;0,44;0,43;0,39;0,33;0,29;0,21;0,18;0,40;0,33
"352250 Itapevi";0,20;0,48;0,42;0,53;0,54;0,45;0,38;0,44;0,41;0,40;0,34;0,31;0,36;0,40
"352260 Itapira";0,26;0,41;0,39;0,45;0,31;0,28;0,48;0,23;0,32;0,48;0,35;0,40;0,40;0,37
"352265 Itapirapuã Paulista";0,09;0,29;0,22;0,15;0,35;0,20;0,14;0,32;0,32;0,17;0,59;0,09;0,25;0,25
"352270 Itápolis";0,13;0,11;0,16;0,15;0,32;0,27;0,33;0,43;0,33;0,40;0,20;0,17;0,34;0,26
"352280 Itaporanga";0,31;0,43;0,38;0,39;0,58;0,33;0,36;0,36;0,19;0,03;0,04;0,03;0,03;0,26
"352290 Itapuí";0,20;0,21;0,15;0,17;0,21;0,23;0,31;0,21;0,20;0,12;0,08;0,10;0,05;0,17
"352300 Itapura";0,16;0,32;1,65;0,24;1,60;0,16;1,45;0,10;0,18;1,22;0,09;1,23;0,07;0,65
"352310 Itaquaquecetuba";0,13;0,34;0,19;0,20;0,34;0,27;0,26;0,14;0,07;0,14;0,06;0,11;0,13;0,17
"352320 Itararé";0,18;0,28;0,36;0,31;0,37;0,33;0,29;0,37;0,39;0,21;0,13;0,07;0,37;0,28
"352330 Itariri";0,23;0,36;0,34;0,34;0,34;0,33;0,34;0,33;0,36;0,49;0,20;0,16;0,24;0,31
"352340 Itatiba";0,58;0,76;0,85;0,70;0,86;0,75;0,94;0,59;0,62;0,69;0,58;0,56;0,52;0,68
"352350 Itatinga";0,26;0,53;0,46;0,35;0,45;0,46;0,54;0,47;0,26;0,25;0,20;0,08;0,22;0,34
"352360 Itirapina";0,18;0,30;0,32;0,25;0,37;0,34;0,38;0,43;0,28;0,25;0,19;0,18;0,72;0,33
"352370 Itirapuã";0,29;0,26;0,36;0,53;0,69;0,55;0,57;0,31;0,41;0,54;0,31;0,28;0,49;0,43
"352380 Itobi";0,41;0,40;0,54;0,69;0,48;0,64;0,67;0,57;0,59;0,63;0,45;0,48;0,35;0,53
"352390 Itu";0,12;0,18;0,39;0,40;0,39;0,49;0,35;0,50;0,46;0,43;0,33;0,43;0,43;0,39
"352400 Itupeva";0,36;0,75;0,55;0,59;0,74;0,62;0,47;0,36;0,47;0,58;0,27;0,38;0,57;0,50
"352410 Ituverava";0,35;0,65;0,94;0,90;0,95;0,89;0,62;0,26;0,44;0,54;0,38;0,24;0,48;0,58
"352420 Jaborandi";0,56;0,50;0,60;0,72;0,64;0,65;0,71;0,70;0,37;0,60;0,03;0,05;0,82;0,53
"352430 Jaboticabal";0,19;0,18;0,27;0,32;0,71;0,26;0,68;0,56;0,35;0,23;0,19;0,20;0,30;0,34
"352440 Jacareí";0,69;0,65;0,71;0,69;0,56;0,76;0,57;0,66;0,71;0,65;0,42;0,61;0,46;0,62
"352450 Jaci";0,44;0,25;0,63;0,67;0,81;0,46;0,70;0,55;0,62;0,47;0,53;0,37;0,81;0,57
"352460 Jacupiranga";0,34;0,47;0,43;0,34;0,44;0,50;0,51;0,45;0,36;0,31;0,26;0,29;0,41;0,39
"352470 Jaguariúna";0,78;0,99;0,93;0,86;0,87;0,88;0,88;0,74;0,77;0,87;0,45;0,72;0,79;0,80
"352480 Jales";0,49;1,17;0,27;1,15;0,36;1,06;0,22;0,52;0,41;0,83;0,10;0,13;0,73;0,56
"352490 Jambeiro";0,40;0,39;0,48;0,44;0,62;0,61;0,46;0,82;0,60;0,25;0,10;0,21;0,51;0,44
"352500 Jandira";0,08;0,35;0,28;0,25;0,27;0,46;0,37;0,37;0,19;0,24;0,22;0,29;0,36;0,29
"352510 Jardinópolis";0,22;0,23;0,41;0,25;0,39;0,31;0,42;0,43;0,29;0,32;0,20;0,33;0,25;0,31
"352520 Jarinu";0,33;0,43;0,28;0,33;0,57;0,40;0,43;0,38;0,46;0,47;0,32;0,35;0,38;0,40
"352530 Jaú";0,26;0,27;0,23;0,31;0,25;0,33;0,33;0,40;0,18;0,20;0,15;0,13;0,19;0,24
"352540 Jeriquara";0,44;0,44;0,41;0,49;0,71;0,76;0,68;0,42;0,38;0,55;0,75;0,44;0,54;0,54
"352550 Joanópolis";0,15;0,39;0,46;0,42;0,37;0,28;0,61;0,47;0,39;0,34;0,20;0,40;0,41;0,37
"352560 João Ramalho";0,63;0,67;0,78;0,71;0,70;0,64;0,93;0,72;0,86;0,88;0,30;0,55;0,61;0,69
"352570 José Bonifácio";0,29;0,35;0,47;0,32;0,49;0,43;0,46;0,37;0,33;0,43;0,29;0,32;0,36;0,37
"352580 Júlio Mesquita";0,07;0,22;0,27;0,27;0,20;0,17;0,31;0,32;0,39;0,13;0,29;0,15;0,55;0,26
"352585 Jumirim";0,11;0,52;0,49;0,63;0,05;0,03;0,00;0,01;0,05;0,51;0,29;0,26;0,24;0,25
"352590 Jundiaí";1,13;0,78;1,03;1,08;1,00;0,93;1,02;0,85;0,88;0,83;0,51;0,77;0,76;0,86
"352600 Junqueirópolis";0,48;0,68;0,71;0,69;0,70;0,52;0,87;0,69;0,65;0,42;0,29;0,41;0,22;0,55
"352610 Juquiá";0,32;0,45;0,40;0,29;0,36;0,41;0,41;0,28;0,33;0,28;0,25;0,31;0,38;0,34
"352620 Juquitiba";0,26;0,18;0,26;0,23;0,20;0,39;0,21;0,66;0,17;0,24;0,21;0,12;0,22;0,26
"352630 Lagoinha";0,44;0,60;0,66;0,61;0,72;0,50;0,97;0,67;0,62;0,27;0,43;0,17;0,46;0,53
"352640 Laranjal Paulista";0,23;0,23;0,34;0,28;0,46;0,35;0,36;0,29;0,15;0,11;0,03;0,02;0,01;0,21
"352650 Lavínia";0,25;0,43;1,35;0,37;1,15;0,46;1,33;0,35;1,29;0,06;0,07;1,04;0,04;0,62
"352660 Lavrinhas";0,34;0,41;0,37;0,27;0,25;0,07;0,05;0,28;0,14;0,17;0,12;0,11;0,06;0,19
"352670 Leme";0,36;0,50;0,49;0,51;0,41;0,56;0,38;0,55;0,52;0,51;0,32;0,44;0,53;0,47
"352680 Lençóis Paulista";0,42;0,63;0,65;0,61;0,53;0,54;0,52;0,44;0,56;0,48;0,25;0,31;0,67;0,50
"352690 Limeira";0,40;0,42;0,54;0,59;0,54;0,55;0,60;0,49;0,40;0,57;0,30;0,41;0,38;0,47
"352700 Lindóia";0,39;0,43;0,39;0,37;0,37;0,25;1,40;0,45;0,23;0,48;0,33;0,32;0,47;0,45
"352710 Lins";0,28;0,37;0,42;0,45;0,57;0,30;0,36;0,39;0,53;0,33;0,12;0,30;0,48;0,37
"352720 Lorena";0,25;0,02;0,24;0,19;0,54;0,33;0,35;0,54;0,37;0,45;0,27;0,25;0,64;0,35
"352725 Lourdes";0,40;0,72;1,80;0,37;1,83;0,42;1,77;0,16;1,82;0,18;0,12;1,65;0,12;0,87
"352730 Louveira";0,05;0,57;0,67;0,79;0,85;0,75;0,35;0,22;0,37;0,08;0,20;0,59;0,65;0,46
"352740 Lucélia";0,55;0,43;0,28;0,70;0,52;0,30;0,19;0,37;0,54;0,43;0,29;0,32;0,61;0,43
"352750 Lucianópolis";0,42;0,41;0,44;0,65;0,54;0,56;0,67;0,77;0,45;0,30;0,52;0,17;0,38;0,48
"352760 Luís Antônio";0,52;0,12;0,01;0,01;0,25;0,20;0,31;0,70;0,30;0,09;0,11;0,21;0,21;0,23
"352770 Luiziânia";0,07;1,73;0,02;0,87;0,89;0,03;1,67;0,02;1,57;0,03;0,02;1,70;0,09;0,67
"352780 Lupércio";0,31;0,92;0,60;0,64;0,67;0,59;0,77;0,54;0,80;0,48;0,39;0,62;0,73;0,62
"352790 Lutécia";0,29;0,52;0,45;0,39;0,35;0,50;0,38;1,09;0,13;0,17;0,15;0,31;0,15;0,37
"352800 Macatuba";0,24;0,50;0,45;0,46;0,30;0,24;0,25;0,24;0,32;0,23;0,26;0,52;0,28;0,33
"352810 Macaubal";0,19;0,23;0,79;0,33;1,41;1,10;0,36;0,34;1,04;0,36;0,29;0,47;0,46;0,56
"352820 Macedônia";0,43;1,06;0,31;1,21;0,37;1,19;0,45;1,33;0,34;0,26;0,82;0,22;1,08;0,69
"352830 Magda";0,17;0,46;1,15;0,30;1,24;0,97;0,22;0,25;0,99;0,38;0,18;0,77;0,32;0,56
"352840 Mairinque";0,22;0,42;0,46;0,43;0,43;0,34;0,31;0,05;0,25;0,12;0,14;0,07;0,08;0,23
"352850 Mairiporã";0,31;0,35;0,40;0,43;0,50;0,46;0,39;0,40;0,46;0,43;0,29;0,49;0,45;0,41
"352860 Manduri";0,28;0,37;0,35;0,30;0,35;0,41;0,43;0,38;0,30;0,43;0,33;0,28;0,15;0,33
"352870 Marabá Paulista";0,11;0,40;0,62;0,42;0,55;0,56;0,53;0,47;0,48;0,42;0,17;0,13;0,14;0,38
"352880 Maracaí";0,21;0,32;0,31;0,28;0,26;0,28;0,38;0,38;0,37;0,62;0,15;0,19;0,17;0,30
"352885 Marapoama";0,23;0,47;0,42;0,51;0,84;0,64;0,67;1,53;0,43;0,60;0,45;0,53;0,54;0,61
"352890 Mariápolis";0,25;0,48;0,49;0,57;0,70;0,59;0,76;0,74;0,69;0,53;0,37;0,55;0,69;0,57
"352900 Marília";0,34;0,54;0,53;0,48;0,57;0,33;0,45;0,42;0,43;0,39;0,22;0,30;0,42;0,41
"352910 Marinópolis";0,78;0,94;1,33;0,11;1,22;0,42;0,34;0,98;0,14;0,42;0,08;0,10;1,39;0,62
"352920 Martinópolis";0,36;0,49;0,53;0,41;0,99;0,69;0,67;0,70;0,68;0,62;0,40;0,59;0,55;0,59
"352930 Matão";0,50;0,47;0,49;0,57;0,73;0,56;0,52;0,61;0,44;0,59;0,27;0,45;0,47;0,51
"352940 Mauá";0,23;0,11;0,05;0,39;0,52;0,50;0,55;0,51;0,38;0,12;0,09;0,09;0,52;0,31
"352950 Mendonça";0,29;0,41;0,68;0,84;0,81;0,92;0,82;0,84;0,85;0,93;0,48;0,57;0,75;0,71
"352960 Meridiano";0,16;1,49;0,24;1,61;0,83;1,71;0,50;1,60;0,27;1,12;0,13;0,21;1,24;0,85
"352965 Mesópolis";0,37;1,27;0,34;1,65;0,50;0,99;0,32;1,35;0,23;1,44;0,16;0,20;1,39;0,78
"352970 Miguelópolis";0,27;0,33;0,27;0,33;0,53;0,35;0,39;0,30;0,25;0,62;0,17;0,18;0,64;0,36
"352980 Mineiros do Tietê";0,20;0,26;0,31;0,29;0,36;0,24;0,31;0,37;0,29;0,23;0,19;0,18;0,20;0,26
"353000 Mira Estrela";0,53;1,14;0,41;1,31;0,47;1,27;0,32;1,32;0,22;0,70;0,52;0,22;1,11;0,72
"352990 Miracatu";0,25;0,46;0,38;0,40;0,37;0,44;0,45;0,53;0,27;0,32;0,19;0,27;0,35;0,36
"353010 Mirandópolis";0,23;0,37;0,92;0,43;0,94;0,53;0,47;0,55;1,06;1,23;0,70;0,93;1,33;0,76
"353020 Mirante do Paranapanema";0,23;0,33;0,33;0,46;0,43;0,20;0,36;0,40;0,26;0,26;0,02;0,24;0,65;0,32
"353030 Mirassol";0,32;0,36;0,39;0,33;0,57;0,31;0,41;0,37;0,28;0,29;0,23;0,25;0,35;0,34
"353040 Mirassolândia";0,49;0,69;0,79;0,54;0,80;0,67;0,69;0,61;0,75;0,60;0,39;0,57;0,59;0,62
"353050 Mococa";0,41;0,59;0,61;0,65;0,61;0,62;0,47;0,59;0,51;0,42;0,30;0,34;0,45;0,50
"353060 Mogi das Cruzes";0,39;0,37;0,46;0,50;0,56;0,55;0,52;0,54;0,52;0,52;0,33;0,44;0,46;0,47
"353070 Mogi Guaçu";0,30;0,55;0,39;0,54;0,70;0,69;0,64;0,60;0,54;0,64;0,34;0,38;0,47;0,52
"353080 Moji Mirim";0,07;0,21;0,38;0,28;0,41;0,60;0,41;0,22;0,18;0,34;0,30;0,35;0,35;0,32
"353090 Mombuca";0,17;0,31;0,25;0,36;0,54;0,57;0,42;0,33;0,42;0,27;0,21;0,18;0,33;0,33
"353100 Monções";0,51;0,71;1,69;0,80;1,66;1,59;0,41;0,66;1,29;0,76;0,65;1,24;0,50;0,95
"353110 Mongaguá";0,16;0,31;0,33;0,22;0,40;0,66;0,37;0,40;0,27;0,31;0,29;0,23;0,29;0,33
"353120 Monte Alegre do Sul";0,27;0,35;0,41;0,35;0,39;0,29;0,47;0,65;0,60;0,56;0,46;0,40;0,68;0,46
"353130 Monte Alto";0,32;0,32;0,37;0,29;0,52;0,31;0,40;0,36;0,36;0,37;0,22;0,27;0,34;0,34
"353140 Monte Aprazível";0,31;0,33;0,48;0,34;0,85;0,65;0,55;0,42;0,48;0,47;0,36;0,30;0,42;0,45
"353150 Monte Azul Paulista";0,59;0,62;0,69;0,76;0,62;0,70;0,74;0,66;0,64;0,62;0,07;0,05;0,72;0,56
"353160 Monte Castelo";0,46;0,42;0,62;0,65;0,62;0,85;0,65;0,58;0,38;0,45;0,26;0,27;0,13;0,48
"353180 Monte Mor";0,04;0,17;0,35;0,26;0,46;0,03;0,03;0,18;0,18;0,11;0,21;0,11;0,39;0,19
"353170 Monteiro Lobato";0,23;0,39;0,52;0,70;0,61;0,30;0,48;0,60;0,51;0,43;0,22;0,03;0,60;0,43
"353190 Morro Agudo";0,58;0,39;0,76;0,74;0,83;0,73;0,87;0,81;0,77;0,61;0,35;0,40;0,57;0,64
"353200 Morungaba";0,17;0,32;0,23;0,34;0,40;1,04;0,41;0,37;0,85;0,19;0,49;0,39;0,80;0,48
"353205 Motuca";0,36;0,35;0,36;0,56;0,55;0,61;0,71;0,35;0,36;0,31;0,49;0,35;0,53;0,45
"353210 Murutinga do Sul";0,12;0,30;1,69;0,36;1,37;0,44;1,33;0,25;1,35;0,15;0,13;1,10;0,11;0,66
"353215 Nantes";0,80;0,50;0,54;0,64;0,77;0,83;0,64;0,63;0,47;0,76;0,36;0,69;0,40;0,61
"353220 Narandiba";0,10;0,40;0,36;0,68;0,42;0,72;0,75;0,48;0,51;0,35;0,18;0,24;0,10;0,40
"353230 Natividade da Serra";0,20;0,27;0,31;0,35;0,36;0,36;0,37;0,28;0,29;0,30;0,38;0,20;0,39;0,31
"353240 Nazaré Paulista";0,10;0,23;0,26;0,24;0,33;0,20;0,19;0,34;0,34;0,28;0,23;0,26;0,41;0,27
"353250 Neves Paulista";0,29;0,34;0,37;0,50;0,58;0,54;0,57;0,38;0,49;0,55;0,36;0,40;0,40;0,44
"353260 Nhandeara";0,22;0,44;1,15;0,39;1,30;0,24;1,39;0,23;1,34;0,20;0,46;0,79;0,20;0,64
"353270 Nipoã";0,28;0,33;0,47;0,54;0,54;0,53;0,61;0,78;0,69;0,60;0,47;0,58;0,44;0,54
"353280 Nova Aliança";0,55;0,50;0,63;0,54;0,69;0,52;0,57;0,68;0,46;0,65;0,50;0,54;0,42;0,56
"353282 Nova Campina";0,16;0,09;0,08;0,06;0,49;0,20;0,26;0,17;0,18;0,24;0,32;0,39;0,36;0,24
"353284 Nova Canaã Paulista";1,45;0,21;1,47;0,22;1,52;0,28;1,49;0,12;1,18;0,18;1,26;0,21;1,42;0,85
"353286 Nova Castilho";0,28;0,34;0,23;1,29;0,31;0,87;0,21;1,30;0,21;1,04;0,11;0,38;1,02;0,59
"353290 Nova Europa";0,28;0,54;0,50;0,45;0,43;0,57;0,63;1,04;0,48;0,67;0,36;0,30;0,52;0,52
"353300 Nova Granada";0,19;0,73;0,42;0,54;0,61;0,49;0,44;0,54;0,41;0,46;0,27;0,21;0,52;0,44
"353310 Nova Guataporanga";0,57;0,71;0,67;0,60;0,72;0,70;0,85;0,82;0,48;0,64;0,61;0,33;0,02;0,59
"353320 Nova Independência";0,43;0,34;1,85;0,25;1,56;0,19;1,31;0,38;1,84;0,10;0,07;1,32;0,08;0,74
"353330 Nova Luzitânia";0,50;0,36;0,48;1,31;0,25;1,35;0,19;1,44;0,15;1,30;0,06;0,19;1,21;0,67
"353340 Nova Odessa";0,26;0,73;0,82;0,64;0,50;0,49;0,55;0,07;0,08;0,03;0,03;0,41;0,57;0,37
"353325 Novais";0,26;0,22;0,37;0,33;0,59;0,43;0,44;0,59;0,45;0,32;0,25;0,34;0,52;0,39
"353350 Novo Horizonte";0,39;0,38;0,39;0,42;0,45;0,20;0,55;0,42;0,53;0,56;0,35;0,49;0,50;0,44
"353360 Nuporanga";0,19;0,54;0,51;0,44;0,53;0,58;0,40;0,57;0,47;0,46;0,37;0,34;0,44;0,45
"353370 Ocauçu";0,25;0,53;0,37;0,55;0,52;0,42;0,53;0,49;0,54;0,90;0,06;0,40;0,55;0,47
"353380 Óleo";0,29;0,41;0,41;0,47;0,43;0,37;0,33;0,26;0,36;0,43;0,20;0,14;0,17;0,32
"353390 Olímpia";0,16;0,97;0,53;0,68;0,55;0,57;0,54;0,57;0,43;0,48;0,03;0,05;0,65;0,47
"353400 Onda Verde";0,64;0,44;0,65;0,53;1,06;0,77;0,72;0,59;0,58;0,89;0,56;0,19;0,47;0,61
"353410 Oriente";0,36;0,76;0,63;0,60;0,62;0,43;0,57;0,48;0,52;0,56;0,25;0,40;0,49;0,51
"353420 Orindiúva";1,18;0,42;0,67;0,47;0,67;0,96;0,79;0,93;0,84;0,68;0,47;0,50;0,73;0,69
"353430 Orlândia";0,34;1,32;0,75;1,06;1,07;1,08;0,89;0,75;0,71;0,84;0,79;0,78;1,02;0,88
"353440 Osasco";0,16;0,20;0,36;0,39;0,39;0,52;0,47;0,55;0,40;0,39;0,24;0,24;0,48;0,37
"353450 Oscar Bressane";0,31;0,78;0,79;0,81;0,73;0,15;0,28;0,49;0,56;1,26;0,25;0,50;0,51;0,57
"353460 Osvaldo Cruz";0,33;0,36;0,41;0,52;0,21;0,27;0,15;0,19;0,20;0,12;0,09;0,08;0,26;0,24
"353470 Ourinhos";0,32;0,36;0,39;0,42;0,66;0,43;0,57;0,50;0,37;0,35;0,24;0,26;0,31;0,39
"353480 Ouro Verde";0,52;0,42;0,55;0,54;0,64;0,72;0,61;0,73;0,38;0,63;0,42;0,12;0,24;0,49
"353475 Ouroeste";0,47;1,57;0,37;1,33;0,17;1,48;0,21;1,43;0,30;1,08;0,27;0,25;1,26;0,78
"353490 Pacaembu";0,27;0,42;0,39;0,63;0,57;0,46;0,40;0,42;0,52;0,52;0,41;0,37;0,53;0,46
"353500 Palestina";0,41;0,54;0,39;0,86;0,53;0,48;0,65;0,41;0,59;0,53;0,19;0,40;0,30;0,48
"353510 Palmares Paulista";0,33;0,31;0,45;0,70;0,38;0,53;0,46;0,57;0,44;0,51;0,33;0,37;0,51;0,45
